Período,Sección,Ciclo,Edad,Estatura (cm),Peso (kg),Signo del zodiaco,Sexo,Carrera,Tiempo de reacción,Juega videojuegos,Hace deporte,Color favorito,Talla de zapato,Talla de polo,Sistema operativo,Fecha de nacimiento,Indicaciones,,
2020.1,2,5,19,176,70,Geminis,M,Ing. Energía,386,No,Si,,,,,,FALSE,,
2020.2,5,3,21,172,69,Acuario,M,Ing.Civi,,,,,,,,,FALSE,,
2020.1,4,3,18,166,74,Sagitario,M,Ing. Energía,276,Si,Si,,,,,,FALSE,,
2020.1,5,7,20,177,68,Capricornio,M,Ing.Mecatrónica,295,SÍ,SÍ,,,,,,FALSE,,
2020.1,,,39,165,72,Leo,M,,312,No,No,,,,,,FALSE,,
2020.2,5,3,18,170,65,Capricornio,M,Ing. Mecatrónica,,,,,,,,,FALSE,,
,5,7,20,175,85,Virgo,M,Ing. Mecánica,,si,no,,,,,,FALSE,,
2020.1,2,4,20,176,80,Acuario,M,Ing. Electrónica,225,Si,Si,,,,,,FALSE,,
2020.2,4,3,18,169,52,Aries,M,Ing. Mecatronica,343,si,no,,,,,,FALSE,,
2020.2,2,2,16,167,60,Libra,M,Ing. Mecatrónica,315,No,Si,,,,,,FALSE,,
2021.1,3,3,18,166,55,Leo,M,Ing. Civil,267,Si,,,,,,,FALSE,,
2020.2,3,8,21,172,72,Tauro,M,Ing. Mécanica,386,si,si,,,,,,FALSE,,
2020.2,4,3,20,150,55,Virgo,F,Ing. Mecatrónica,277,No,si,,,,,,FALSE,,
2020.1,2,3,17,162,55,Acuario,F,Bioingenieria ,268,Sí,Sí,,,,,,FALSE,,
2020.1,1,3,18,185,83,Leo,M,Ciencias de la Computación,309,No,Si,,,,,,FALSE,,
2021.1,5,3,18,167,57,Aries,M,Ing. Civil,251,Si,Si,,,,,,FALSE,,
2020.1,,,50,180,110,Aries,M,,425,Si,No,,,,,,FALSE,,
2020.2,,,51,180,,Aries,M,,269,Si,No,,,,,,FALSE,,
2021.1,1,6,23,161,55,Tauro,M,Ing. Ambiental,296,Si,Si,,,,,,FALSE,,
2020.2,5,3,17,175,70,Virgo,M,Ing. Industrial,201,si,no,,,,,,FALSE,,
2020.2,1,4,18,174,85,Piscis,M,Ciencias de la Computación,215,si,si,,,,,,FALSE,,
2020.1,3,7,20,170,60,Geminis,F,Ing. Electrònica,292,No,No,,,,,,FALSE,,
2020.1,3,3,17,183,70,Tauro,M,Ing. de la Energía,240,Sí,Sí,,,,,,FALSE,,
2020.2,2,3,18,162,65,geminis ,M,Ing. civil,,,,,,,,,FALSE,,
2020.1,5,3,18,170,60,Libra,M,Ing. Mecánica,234,Si,No,Rojo,7,S,,,FALSE,,
2021.1,3,4,19,169,62,Acuario,M,Ing. Civil,263,Si,Si,,,,,,FALSE,,
2020.2,1,5,19,170,70,Sagitario,F,Ing. Mecatrónica,314,Sí,Sí,,,,,,FALSE,,
2021.1,3,5,18,175,69,Leo,M,Ciencia de la Computación,278,Sí,Sí,,,,,,FALSE,,
2020.1,1,3,17,167,81,Tauro,M,Bioingeniería,,,,,,,,,FALSE,,
2020.1,1,3,17,166,79,Tauro,M,Bioingeniería,235,Sí,No,,,,,,FALSE,,
2020.2,1,7,21,170,65,Leo,M,Ing.Mecatronica,249,si,si,,,,,,FALSE,,
2020.2,5,2,18,164,70,Aries,M,Ing. Civil,309,sí,no,,,,,,FALSE,,
2020.2,3,4,18,153,47,Sagitario,F,Ing. civil,383,Si,No,,,,,,FALSE,,
2020.1,5,7,20,164,62,Sagitario,M,Ing. Mecánica,247,Si,Sí,,,,,,FALSE,,
2020.1,5,4,19,184,68,Leo,M,Ciencia de la Computación,394,Si,Si,,,,,,FALSE,,
2020.2,1,3,19,160,60,Acuario,M,Ing. Industrial,271,no,sí,,,,,,FALSE,,
2020.2,3,7,20,176,80,Sagitario,M,Ing. Electrónica,328,Si,No,,,,,,FALSE,,
2020.1,4,3,18,160,84,Acuario,M,Ciencias de la Computación,428,No,No,,,,,,FALSE,,
2020.2,1,5,19,162,54,Acuario,F,Ciencia de la Computación,,Si,Si,,,,,,FALSE,,
2020.2,5,3,23,180,98,Virgo,M,Ing. Mecánica,356,si,no,,,,,,FALSE,,
2020.1,4,5,18,175,60,Cancer,M,Ing. Civil,295,Si,No,,,,,,FALSE,,
2020.1,1,5,21,175,108,Cancer,M,Ing. Mecatronica,221,Si,No,,,,,,FALSE,,
2020.2,5,2,17,175,60,Capricornio,M,Ing. Mecatronica,255,si,no,,,,,,FALSE,,
2020.2,1,7,20,178,69,Libra,M,Ing. Mecánica,209,Si,Si,,,,,,FALSE,,
2020.1,1,5,20,172,90,Tauro,M,Ing.Energía,238,Sí,No,,,,,,FALSE,,
2020.1,3,3,18,175,120,Acuario,M,Ing Industrial,295,Si,Si,,,,,,FALSE,,
2020.2,1,6,20,181,83,Cancer,M,Ing. de la Energía,,Si,,,,,,,FALSE,,
2020.1,2,3,18,170,58,Sagitario,M,Ing. Mecatronica,293,Sí,No,,,,,,FALSE,,
2020.2,2,2,17,163,,virgo,F,Ing. Industrial,311,si,si,,,,,,FALSE,,
2020.1,5,3,18,186,73,Geminis,M,Ing. Industrial,251,Sí,No,,,,,,FALSE,,
2020.2,4,6,22,165,70,Leo,F,Ing Mecanica,60,Si,Si,,,,,,FALSE,,
2020.1,1,6,19,153,51,Aries,F,Bioingenieria ,340,Si,No,,,,,,FALSE,,
2020.1,3,3,18,156,53,Escorpio,F,Ing. Ambiental,346,No,No,,,,,,FALSE,,
2020.2,1,5,19,155,48,Capricornio,F,Ing. Química,344.2,si,Sí,,,,,,FALSE,,
2020.1,5,5,22,170,70,Tauro,M,Ing. Mecanica,281,No,si,,,,,,FALSE,,
2020.2,,3,18,183,74,Capricornio,M,Ciencia de la Computación,,si,si,,,,,,FALSE,,
2020.1,1,3,17,177,62,Virgo,M,Ing. Mecatrónica,246,Sí,Sí,,,,,,FALSE,,
2021.1,3,5,19,165,58,Piscis,F,Ing. Industrial,288,Si,Si,,,,,,FALSE,,
2020.2,4,6,18,176,74,Virgo,M,Ing. Mecatrónica,279,Sí,Sí,,,,,,FALSE,,
2020.1,5,5,18,175,72,Virgo,M,Ing. Mecatronica,289,Si,Si,,,,,,FALSE,,
2020.2,4,6,19,176,73,Virgo,M,Ing. Mecatronica,,sí,sí,,,,,,FALSE,,
2020.1,1,3,18,177,79,Acuario,M,Ing. Química ,293,Si,Si,,,,,,FALSE,,
2020.2,3,2,18,175,69,-,M,Ing. Mecánica,,si,si,,,,,,FALSE,,
2020.2,5,2,21,176,74,Sagitario,M,Ing.Ambiental,180,si,si,,,,,,FALSE,,
2020.2,1,6,24,168,82,Acuario,M,Ing. Mecanica,297,si,si,,,,,,FALSE,,
2021.1,2,5,19,175,63,geminis,M,Ing. Mecatronica,219,si,si,,,,,,FALSE,,
2021.1,1,5,18,162,58,Tauro,M,Bioingeniería,215,Sí,,,,,,,FALSE,,
2020.2,3,6,19,170,63,Libra,M,Ing. Mecánica,216,Si,Si,,,,,,FALSE,,
2020.1,4,7,19,171,63,Libra,M,Ing. Ambiental,275,Si,,,,,,,FALSE,,
2020.2,1,4,19,179,70,piscis,M,Ing. Industrial,190,No,Sí,,,,,,FALSE,,
2020.2,2,3,21,180,83,Sagitario,M,Ing. Industrial,260,si,no,,,,,,FALSE,,
2020.2,1,5,19,151,52,Capricornio,F,Bioingeniería,273,no,si,,,,,,FALSE,,
2020.2,5,3,19,178,72,Capricornio,M,Ing. Mecánica,426,Si,no,,,,,,FALSE,,
2020.2,5,3,19,178,92,Capricornio,M,Ing. Mecánica,380,Sí,No,,,,,,FALSE,,
2020.2,4,3,18,160,58,Sagitario,F,Ing. Mecatrónica,304,no,si,,,,,,FALSE,,
2020.2,2,3,19,175,72,Escorpio,M,Bioingeniería,,si,si,,,,,,FALSE,,
2020.1,3,3,18,169,54,Virgo,M,Ing. Mecatrónica,436,Sí,Sí,,,,,,FALSE,,
2020.2,1,2,28,155,60,Piscis,F,Ing. Electrónica,365,No,Sí,,,,,,FALSE,,
2020.2,5,4,17,178,74,Leo,M,Bioingenieria,224,si,si,,,,,,FALSE,,
2020.2,1,3,18,170,74,Libra,M,Ing. mecatronica,264,no,si,,,,,,FALSE,,
2020.2,2,4,18,165,69,Libra,M,Ing. mecatronica,268.2,sí,no,,,,,,FALSE,,
2021.1,3,4,19,191,81,Tauro,M,Bioingenieria,229,Si,Si,,,,,,FALSE,,
2020.2,3,6,20,172,70,Cáncer,M,Ciencias de la computacion,297,Si,No,,,,,,FALSE,,
2020.1,3,3,17,170,71,Cancer,M,Ing. Mecatrónica,245,Si,Si,,,,,,FALSE,,
2020.2,3,2,23,159,63,Acuario,F,Ing. Industrial,452,Sí,Si,,,,,,FALSE,,
2020.1,3,4,19,172,68,Acuario,M,Bioingeniería,405,si,sí,,,,,,FALSE,,
2021.1,3,5,18,164,55,Cáncer,F,Ing. Civil,231,No,Sí,,,,,,FALSE,,
2020.2,1,4,19,148,52,Geminis,F,Ciencia de la Computación,296,Si,Si,,,,,,FALSE,,
2020.2,5,4,25,160,52,Leo,F,Ing. Electrónica,340,No,No,,,,,,FALSE,,
2020.1,2,3,18,160,65,Leo,M,Ing. Mecatrónica,260,si,si,Cian,9.5,M,,,FALSE,,
2020.1,5,7,22,170,45,Capricornio,M,Ing. Industrial,253,si,no,,,,,,FALSE,,
2020.2,5,8,21,171,65,Sagitario,M,Ing. Mecatrónica,195,Si,Si,,,,,,FALSE,,
2020.1,3,3,18,172,102,Virgo,M,Ing. Mecatronica,386,Si,No,,,,,,FALSE,,
2020.1,1,3,17,171,72,Géminis,M,Ciencia de la Computación ,387,Si,No,,,,,,FALSE,,
2020.1,1,4,20,170,66,Tauro,M,Ciencia de la Computación,183,si,si,,,,,,FALSE,,
2021.1,1,3,18,158,63,Virgo,F,Ing. Mecatrónica,293,no,si,,,,,,FALSE,,
2020.2,2,2,24,180,90,Acuario,M,Bioingeniería,266,Sí,No,,,,,,FALSE,,
2020.2,3,4,18,160,49,Libra,F,Ciencia de la Computación,270,Si,Si,,,,,,FALSE,,
2020.1,2,3,18,170,75,Sagitario,M,Bioingeniería,229,Si,No,,,,,,FALSE,,
2020.1,2,3,18,180,84,Tauro,M ,Ing.Mecánica,246,No,SI,,,,,,FALSE,,
2020.1,5,4,24,176,67,Virgo,M,Ing.Energía,420,No,Si,,,,,,FALSE,,
,5,4,20,176,73,libra,M,Industrial,,,,,,,,,FALSE,,
2020.1,3,3,17,165,53,Capricornio,M,Ing. Mecatronica,225,Si,Si,,,,,,FALSE,,
2021.1,3,4,19,169,76,Sagitario,M,Ing. Mecanica,,Si,Si,,,,,,FALSE,,
2021.1,3,4,18,165,75,Tauro,M,Ing.Industrial,280,Si,No,,,,,,FALSE,,
2021.1,3,3,19,165,61,Aries,M,Civil,276,Sí,No,,,,,,FALSE,,
2021.1,3,7,19,180,90,Cáncer,M,Ciencia de la Computación,230,Sí,Sí,,,,,,FALSE,,
2021.1,3,3,18,184,81,Sagitario,M,Ing. Civil,296,Sí,Sí,,,,,,FALSE,,
2021.1,3,4,19,184,72,Sagitario,M,Bioingeniería,238,Sí,Sí,,,,,,FALSE,,
2021.1,3,3,18,165,62,Virgo,M,Computer Science,306,No,No,,,,,,FALSE,,
2021.1,3,3,18,157,55,Piscis,F,Ing. Civil,282,No,No,,,,,,FALSE,,
2021.1,3,4,20,168,63,Libra,M,Ing. Electrónica,238,Sí,Sí,,,,,,FALSE,,
2021.1,3,7,19,178,73,Tauro,M,Computer Science,205,Sí,Si,,,,,,FALSE,,
2021.1,3,3,18,179,68,Libra,M,Ing. Mecatrónica,287,Sí,Sí,,,,,,FALSE,,
2021.1,3,4,21,172,79,Libra ,M,Ing. Mecatrónica,238,Sí,No,,,,,,FALSE,,
2021.1,3,7,19,170,62,Leo,M,Ciencia de la Computación,287,No,Si,,,,,,FALSE,,
2021.1,3,5,18,156,50,Cancer,F,Ing. Industrial,309,Si,Si,,,,,,FALSE,,
2021.1,3,4,18,184,82,Libra,M,Ing. Civil,237,Si,Si,,,,,,FALSE,,
2021.1,3,5,19,179,71,Libra,M,Bioingenieria,,Si,Si,,,,,,FALSE,,
2021.1,3,4,19,151,52,Acuario,F,Computer Science,326,No,No,,,,,,FALSE,,
2021.1,3,3,18,177,68,Leo,M,Ing. Mecatrónica,241,Si,No,,,,,,FALSE,,
2021.1,2,8,20,165,47,Piscis,M,Ciencias de la Computación,233,Sí,Sí,,,,,,FALSE,,
2021.1,3,5,18,150,55,Geminis,M,Ing. Quimica,360,Si,No,,,,,,FALSE,,
2021.1,2,3,19,153,45,Acuario,F,Ing. Ambiental,195,No,Sí,,,,,,FALSE,,
2021.1,2,3,17,175,65,Tauro,M,Bioingenieria ,175,Sí,Sí,,,,,,FALSE,,
2021.1,2,7,21,171,64,Aries ,M,Bioingenieria ,322,Si,Si,,,,,,FALSE,,
2021.1,2,7,22,155,64,Sagitario,F,Ing. Industrial,361,No,Si,,,,,,FALSE,,
2021.1,2,7,20,159,58,Leo,F,Ing.Industrial,331,No,Sí,,,,,,FALSE,,
2021.1,2,6,23,155,70,Libra,M,Bioingeniería,241,Si ,No,,,,,,FALSE,,
2021.1,2,3,19,187,78,Escorpio,M,Bioingeniería,189,Si,,,,,,,FALSE,,
2021.1,2,4,19,174,80,Piscis,M,Ing. Industrial,,Si,Si,,,,,,FALSE,,
2021.1,2,6,20,171,65,Escorpio,M,Ciencia de la Computacion,887,Si,No,,,,,,FALSE,,
2021.1,2,3,20,180,75,Capricornio,M,Ing. Mecánica,333,,sí,,,,,,FALSE,,
2021.1,2,6,21,170,70,Capricornio,M,Ing. Industrial,295,Sí,Sí,,,,,,FALSE,,
2021.1,2,7,20,184,78,Virgo,M,Ing. Mecatrónica,230,No,Sí,,,,,,FALSE,,
2021.1,2,5,19,172,75,Libra,F,Ing. Ambiental,396,Si,No,,,,,,FALSE,,
2021.1,2,5,27,165,68,Leo,M,Ing. Industrial,399,Sí,No,,,,,,FALSE,,
2021.1,2,3,23,164,55,Piscis,F,Bioingeniería,275,Sí,No,,,,,,FALSE,,
2021.1,2,5,19,175,74,Capricornio,M,Ing. Mecatrónica,249,Sí,SÍ,,,,,,FALSE,,
2021.1,2,5,19,169,64,Sagitario,M,Ing. Civil,225,Sí,Sí,,,,,,FALSE,,
2021.1,2,1,19,177,70,Aries,M,Ing. Civil,261,Sí,Sí,,,,,,FALSE,,
2021.1,2,7,21,169,63,Piscis,M,Ing. Ambiental,276,SÍ,SÍ,,,,,,FALSE,,
2021.1,2,5,18,176,62,Libra,M,Ing. Energía,192,Sí,No,,,,,,FALSE,,
2021.1,2,3,19,155,56,Gemenis ,F,Ing. Química,376,Sí,No,,,,,,FALSE,,
2021.1,2,3,21,1.68,72,Cancer,M,Ing.Mecanica,215,si,Si,,,,,,FALSE,,
2021.1,2,3,20,170,68,Leo,M,Ing.Mecatrónica,297,Si ,Si,,,,,,FALSE,,
2021.1,2,6,23,165,72,Acuario,M,Ing. Industrial,215,Sí,Sí,,,,,,FALSE,,
2021.1,2,5,21,165,70,Acuario,M,Ing. Civil,363,Sí,Sí,,,,,,FALSE,,
2021.1,2,5,18,180,72,Cancer,M,Ing. Electrónica,211,Si,Si,,,,,,FALSE,,
2020.1,2,7,20,161,53,Geminis,F,Ing. Ambiental,310,No,,,,,,,FALSE,,
,,,,,,,,,,,,,,,,,FALSE,,
2021.1,2,6,21,170,52,Geminis,M,Ing. Quimica,337,No,No,,,,,,FALSE,,
2021.1,1,5,19,173,80,Sagitario,M,Ing.Mecatronica,235,Si,Si,,,,,,FALSE,,
2021.1,1,3,18,170,71,Geminis,M,Ing. Electrónica,301,Sí,Sí,,,,,,FALSE,,
2021.1,1,3,18,191,85,Acuario,M,Ing. Mecatrónica,233,Sí,Sí,,,,,,FALSE,,
2021.1,1,5,19,163,71,Sagitario,M,Ing. Ambiental,281,Sí,Sí,,,,,,FALSE,,
2021.1,1,6,19,178,56,Cancer,M,Ing. Civil,239,Si,No,,,,,,FALSE,,
2021.1,1,7,20,153,51,Aries,F,Bioingenieria ,285,Si,No,,,,,,FALSE,,
2021.1,1,4,20,180,98,Aries,M,Ing. Mecatrónica,327,No,No,,,,,,FALSE,,
2021.1,1,7,21,183,75,Geminis,M,Ing. Electrónica,246.6,Si,No,,,,,,FALSE,,
2021.1,3,5,19,165,62,Tauro,F,Ing. Ambiental,275,si,no,,,,,,FALSE,,
2021.1,1,5,18,165,70,Cancer,M,Ing. Mecánica ,241,Si,Si,,,,,,FALSE,,
2021.1,1,5,18,185,109,Tauro,M,Ing. Mecatrónica,234,Si,Si,,,,,,FALSE,,
2021.1,2,7,23,170,47,Capricornio,M,Ing Industrial,357,Si,No,,,,,,FALSE,,
2021.1,1,6,20,169,73,Aries,M,Ing. Mecatrónica,201,Sí,Sí,,,,,,FALSE,,
2021.1,1,5,20,171,49,Capricornio,M,Ing. Mecatrónica,231,Sí,Sí,,,,,,FALSE,,
2021.1,3,6,20,172,79,Sagitario,M,Bioingeniería,276,SI,SI,,,,,,FALSE,,
2021.1,1,3,18,174,64,Aries,M,Bioingeniería,286.6,Si,Si,,,,,,FALSE,,
2021.1,3,4,23,162,56,Aries,F,Ing. Civil,250,NO,SI,,,,,,FALSE,,
2021.1,3,6,23,163,55,Tauro,M,Ing. Ambiental ,297,Si,Si,,,,,,FALSE,,
2021.1,5,3,18,179,81,Aries,M,Ing. Mecanica ,231,No,No,,,,,,FALSE,,
2021.1,1,7,20,170,65,Aries,M,Ciencia de la Computación,292,Si,Si,,,,,,FALSE,,
2021.1,1,7,18,175,75,Cancer,M,Ciencia de la Computación,181,Si,Si,,,,,,FALSE,,
2021.1,5,3,18,166,61,Tauro,M,Ciencia de la Computación,196,Si,Si,,,,,,FALSE,,
2021.1,1,3,26,175,81,Leo ,M,Ing. Mecanica ,289,No,Si,,,,,,FALSE,,
2021.1,1,7,21,172,74,Picis,M,Ing. Mecanica ,249,Si,Si,,,,,,FALSE,,
2021.1,1,5,18,165,,Leo ,F,Ing. Mecanica ,193,Si,No,,,,,,FALSE,,
2021.1,3,3,25,189,87,Virgo,M,Mecánica,234,si,si,,,,,,FALSE,,
2021.1,1,5,23,167,70,Piscis,M,Ciencias de la Computación,263,No,Si,,,,,,FALSE,,
2021.1,4,4,19,175,78,Sagitario,M,Bioingeniería,285,Si,Si,,,,,,FALSE,,
2021.1,4,6,22,165,,Tauro,F,Ing de la Energía ,300,Si,Si,,,,,,FALSE,,
2021.1,,,25,156,55,Virgo,F,,228,Si,Si,,,,,,FALSE,,
2021.1,5,3,18,165,70,Escorpio,F,Electrónica,263,Si,Si,,,,,,FALSE,,
2021.1,1,3,19,161,61,Virgo,F,Ing. Industrial,276,No,Si,,,,,,FALSE,,
2021.1,4,3,18,178,56,Piscis,M,Ing. Industrial,,Si,No,,,,,,FALSE,,
2021.1,,6,20,181,90,Escorpio,M,,,,,,,,,,FALSE,,
2021.1,4,7,20,177,70,Libra,M,Ing de la Energía ,173,Si,Si,,,,,,FALSE,,
2021.1,4,5,19,168,,Géminis,F,Bioingeniería,228,No,Si,,,,,,FALSE,,
2021.1,5,3,17,163,71,Géminis,M,Ing. Mecatronica,239,Si,No,,,,,,FALSE,,
2021-1,1,5,19,156,58,Sagitario,F,Ing. Ambiental,271,Si,Si,,,,,,FALSE,,
2021-1,5,8,20,181,71,sagitario,M,Ing. Mecanica ,252,Si,Si,,,,,,FALSE,,
2021.1,2,5,19,181,112,pisics,M,civil,223,si,no,,,,,,FALSE,,
2021.1,5,5,21,170,85,Aries,M,Ciencia de la Computación,280,si,no,,,,,,FALSE,,
2021.1,5,3,18,156,56,virgo,F,Ingenieria Civil,304,Sí,Sí,,,,,,FALSE,,
2021.1,5,3,17,175,80,Pisicis,F,Ingeniería Química,237,Sí,Sí,,,,,,FALSE,,
2021.1,5,3,18,176,70,Cancer,M,Ingeniería Mecatrónica,224,si,si,,,,,,FALSE,,
2020.1,5,3,18,175,70,Virgo,M,Bioingeniería,,No,Sí,,,,,,FALSE,,
2021.1,4,6,20,176,65,Geminis,M,Ing de la Energía ,223,No,Sí,,,,,,FALSE,,
2021.1,4,6,21,160,56,Virgo,M,Ing. Mecatronica,268,Si,No,,,,,,FALSE,,
2021.1,1,6,20,167,70,Cáncer,M,Ciencia de la Computación,247,Si,No,,,,,,FALSE,,
2021.1,5,3,18,180,95,Tauro,M,Ingenieria Mecatronica,187,Si,No,,,,,,FALSE,,
2021.1,5,3,17,157,53,Cáncer,F,Bioingeniería,,No,Si,,,,,,FALSE,,
2021-1,4,3,17,173,55,Géminis,M,Ingenieria civil,328,si,si,,,,,,FALSE,,
2021-1,,,52,180,,aries,M,,329,si,no,,,,,,FALSE,,
2021-2,,,52,180,,Aries,M,,309,Sí,No,Verde,11,XXL,,,FALSE,,
2021-2,1,3,18,181,65,Cáncer,M,Ciencia de la Computación,198,SI,SI,Amarillo,11.5,L,,,FALSE,,
2021.2,4,3,18,169,79,Piscis,M,Ingeniería Mecatrónica,289.6,SI,No,Rojo,,M,,,FALSE,,
2021.2,2,6,19,154,58,Sagitario,F,Ingeniería Industrial,313,No,No,Lila,6,M,,,FALSE,,
2021.2,2,6,19,175,,Aries,M,Ingeniería Mecanica,361,Si,Si,Azul,9.5,L,,,FALSE,,
2021.2,6,4,18,180,80,Virgo,M,Ciencia de la Computación,201,Si,Si,Azul,10.5,L,,,FALSE,,
2021-2,2,6,19,170,60,Tauro,F,Ing Industrial,350,No,No,Celeste ,,M,,,FALSE,,
2021.2,2,6,23,170,75,Virgo,M,Ingenieria Electronica,,Si,Si,Verde,9.5,L,,,FALSE,,
2021.2,2,6,19,185,65,Capricornio,M,Ingenieria Mecatronica,,Si,Si,Azul,,L,,,FALSE,,
2021.2,7,7,20,164,48,Aries,M,Ingeniería Mecánica,227,Sí,No,Azul,8,S,,,FALSE,,
2021.2,3,6,20,168,,Escorpio,F,Ingeniería Industrial ,360,No,No,Rosado,8.5,M,,,FALSE,,
2021-2,7,3,17,167,70,libra,M,Ingeniería Ambiental,295,Si,Si,Negro,8.5,M,,,FALSE,,
2021-2,7,3,18,173,68,Virgo,M,Bioingeniería,202,No,Si,Azul,,,,,FALSE,,
2021-2,7,6,19,171,72,Escorpio,M,Ingenieria Mecatronica,356,Si,Si,Rojo,11.5,M,,,FALSE,,
2021-2,3,3,18,160,51,Acuario,M,Ingenieria Civil,256,Si,No,Rojo,,M,,,FALSE,,
2021-2,1,3,19,174,75,Virgo,M,Ciencia de la Computación,224,No,Si,Verde,42,M,,,FALSE,,
2021-2,4,3,19,160,54,Virgo,M,Ingenieria de la Energía,327,No,SI,Anaranjado,,S,,,FALSE,,
2021-2,5,2,17,173,79,Capricornio,M,Ingeniería Industrial,304,Sí,Sí,Negro,42,L,,,FALSE,,
2021-2,5,4,21,181,107,Acuario,M,Ciencia de la Computación,305,Si,No,Celeste ,10,XL,,,FALSE,,
2021-2,7,3,18,171,80,Géminis,M,Ingeniería Mecánica,259,Sí,Sí,Rojo,41,L,,,FALSE,,
2021-2,4,2,19,165,60,Acuario,M,Ingeniería Industrial,237,No,No,Rojo,40,S,,,FALSE,,
2021-2,6,3,19,170,65,Capricornio,M,Ingeniería civil,299,SÍ,Sí,Verde,42,S,,,FALSE,,
2021-2,1,4,20,175,79,Escorpio,M,Ciencia de la Computación,257,SI,NO,rojo,42,L,,,FALSE,,
2021-2,1,3,19,172,76,Tauro,M,Bioingeniería,220,,,,,,,,FALSE,,
2021-2,7,3,18,165,59,Virgo,M,Ingenieria Civil,242,SI,SI,Rojo,41,M,,,FALSE,,
2021-2,1,4,20,170,89,Tauro,M,Ciencia de la Computación,316,SI,NO,Azul,41,M,,,FALSE,,
2021-2,5,4,20,179,79,Sagitario,M,Ingenieria Industrial ,,,,,,,,,FALSE,,
2021-2,1,6,19,185,76,Aries,M,Ciencia de la Computación,270,Si,Si,Azul,,L,,,FALSE,,
2021-2,6,4,17,159,55,Libra,F,Ingeniería Química,273,No,Si,Verde agua,6.5,M,,,FALSE,,
2019-1,1,6,18,170,78,Libra,M,Ingenieria Mecatronica,231,Si,SI,Azul,42,M,,,FALSE,,
2021-2,1,4,19,175,65,Aries,M,Ingenieria Mecánica,264,Si,Si,Negro,42,M,,,FALSE,,
2021-2,7,3,18,150,53,Cancer,F,Ingeniería Civil,294,No,Si,Negro,37,S,,,FALSE,,
2021-2,7,6,20,168,57,Tauro,F,Ingenieria Industrial ,,Si,No,Blanco,37,S,,,FALSE,,
2021-2,,6,19,163,53,Piscis,M,Ingeniería Ambiental,246,Si,No,Celeste,41,M,,,FALSE,,
2021-2,2,5,19,180,85,Acuario,M,Ingeniería Electrónica,225,Sí,Si,Negro,42,L,,,FALSE,,
,,6,19,167,58,Aries,F,Ingeniería química,196.6,No,No,Morado,37,M,,,FALSE,,
2021-2,1,2,18,176,82,Piscis,M,Ingenieria Industrial ,273,No,Si,Blanco,42,L,,,FALSE,,
2021.2,5,4,19,165,49,Cancer,F,Ingeniería de la Energía,317,No,No,Verde,38,S,,,FALSE,,
2021-2,1,2,18,153,48,Libra,F,Ingeniería Industrial ,296,No,No,Violeta,37,S,,,FALSE,,
2021-2,4,6,19,156,58,Sagitario,F,Ing. Ambiental,271,Si,Si,Negro,36,XS,,,FALSE,,
2021-2,3,6,19,153,51,Aries,F,Bioingeniería,299,No,No,Violeta,36,XS,,,FALSE,,
2021-2,2,4,18,160,65,Escorpio,F,Bioingeniería,232,No,No,Rosado,37,M,,,FALSE,,
2021-2,1,2,17,180,79,Capricornio ,M,Ingeniería industrial ,299,Si,Si,Negro,43,L,,,FALSE,,
2021-2,7,4,18,170,70,Géminis,M,Ingeniería Mecatrónica,234,No,Si,Negro,42,M,,,FALSE,,
2021-2,5,4,18,177,70,Libra,M,Ingeniería de la Energía,237,No,Si,Azul,43,M,,,FALSE,,
2021-2,5,6,19,165,75,Virgo,M,Ingeniería Civil,205,Si,No,Rojo,43,M,,,FALSE,,
2021-2,5,3,19,161,65,Libra,M,Ingeniería Electrónica,,Si,No,Rojo,42,,,,FALSE,,
2021-2,5,4,18,175,65,Acuario,M,Bioingeniería,288,Si,Si,Rojo,43,M,,,FALSE,,
2021-2,7,3,18,158,61,-,M,Ingeniería Mecatrónica,302,Si,No,Amarillo,38,S,,,FALSE,,
2019-1,2,6,19,163,64,Piscis,F,Ingenieria Industrial ,360,No,No,celeste,38,M,,,FALSE,,
2021-2,6,3,29,167,72,escorpio,M,Ingenieria Industrial ,282,SI,SI,AZUL,41,M,,,FALSE,,
2021-2,2,2,21,150,51,Géminis,F,Ciencia de Datos,245,No,Sí,Azul,36,S,,,FALSE,,
2021-2,2,6,19,166,60,Libra,F,Ciencia de la Computación,278,No,Si,Rosado,38,S,,,FALSE,,
2021-2,2,6,25,173,85,Géminis,M,Ciencia de la Computación,232,Sí,Sí,Azul,42.5,L,,,FALSE,,
2021-2,2,5,22,175,85,Capricornio,M,Ingenieria Electronica,265,Si,Si,Azul,42.5,L,,,FALSE,,
2021-2,2,5,19,182,79,Piscis,M,Ciencia de la Computación,219,Sí,Sí,Morado,42,L,,,FALSE,,
2021-2,2,3,18,165,58,Tauro,F,Ingeniería Industrial,424,No,No,Negro,38,M,,,FALSE,,
2021-2,2,6,25,170,64,Capricornio,M,Ingeniería Mecanica,272,Si,Si,Azul,41,S,,,FALSE,,
2021-2,2,4,18,166,68,Cancer,M,Ciencia de la Computación,225,Sí,No,Azul,42,S,,,FALSE,,
2021-2,2,6,19,174,66,Virgo,M,Ciencia de la Computación,196,Sí,Sí,Rojo,42,M,,,FALSE,,
2021-  2,2,4,21,173,65,Leo,M,Ciencia de la Computación,341,Sí,No,Azul,41,M,,,FALSE,,
