"Bodega","Distrito","Aforo","Productos","Ventas1","Ventas2","Ventas3","Ventas4"
"cazurría denticulado","La Molina",4,55,2511.52,3508.22,2987.62,3363.89
"perífono periodicidad","Santiago de Surco",5,72,2385.89,2104.57,2184.92,2439.53
"cacarico agasajador","Los Olivos",5,66,1924.56,1522.77,1473.13,1733.91
"semblantear espurrir","Surquillo",13,182,2550.75,3945.37,3043.08,2937.06
"eritroxíleo incomponible","Ate",2,27,2588.13,2700.33,2489.61,2629.21
"ilusionista refrescamiento","Villa María del Triunfo",10,144,3235.41,2520.61,2293.76,2284.28
"barquero enrigidecer","Jesús María",5,78,1640.83,1236.72,1524.42,1773.97
"espiritoso limitación","Santiago de Surco",13,189,3958.13,4734.84,4068.92,4594.06
"arrebolarse empergaminar","San Juan de Miraflores",5,91,1268.75,1015.41,1317.91,1327.71
"trasmutable malgenioso","Villa María del Triunfo",2,26,824.64,1389.11,1383.65,1334.08
"atufamiento rascuachera","Villa María del Triunfo",2,26,4159.28,3722.18,3738.96,4062
"cogujonero vuelapié","Santa Anita",13,174,3164.03,3657.03,2947.55,4217.16
"agazapado trayecto","Miraflores",3,47,2022.08,2300.13,1924.94,2173.96
"sustituto mamandurria","Los Olivos",5,84,4050.94,3785.37,4129.2,2926.94
"ponentisco estajanovismo","Surquillo",2,36,1659.52,1299.06,2045.95,1955.16
"neolector pagamiento","Comas",4,71,1511.26,1266.97,1287.32,1713.29
"petacudo serviciar","La Victoria",5,69,2967.46,2539.65,2747.1,2691.41
"latigadera falsarregla","Chorrillos",3,59,3811.85,3353.05,2780.71,3307.06
"balconear colibacilo","San Juan de Miraflores",13,163,1330.88,1016.85,1260.25,1434.83
"omniscio atagallar","San Martin de Porres",2,37,4817.98,4786.76,4668.67,4410.98
"escavillar descabellado","San Juan de Lurigancho",7,96,2553.51,2532.95,2643.76,2278.52
"separatismo esgrimista","Comas",9,134,1109.14,1117.34,1115.98,1578.25
"venadero variopinto","Surquillo",6,88,1586.74,2311.82,2111.54,2296.23
"siquitraque osamenta","Surquillo",4,71,4663.44,4761.21,4348.15,4780.69
"catódico correría","Comas",4,56,2932.95,3823.01,2870.6,3041.69
"enriquecimiento remolienda","Puente Piedra",2,28,3999.88,4236.56,3814.78,3662.93
"mormonismo parapente","Independencia",8,131,1926.52,2459.2,2637.55,1865.09
"neptuniano megahertz","Santa Anita",6,76,2465.05,2217.36,2286.21,2736.23
"panislamismo aquintralarse","La Victoria",13,199,5124.9,4916.21,4770.24,5085.88
"quebrantaolas comilitón","Villa María del Triunfo",3,32,1623.77,1472.06,2006.31,1649.73
"virtuoso minutero","San Juan de Lurigancho",4,62,1433.15,2065.23,1739.84,1876.77
"espirómetro gravitación","Santiago de Surco",2,24,4331.83,5068.81,4802.74,4341.92
"tresdoblar limonado","San Juan de Lurigancho",2,22,2288.89,2987.37,2391.43,2939.78
"chuscada cantinflas","La Victoria",6,88,1129.22,1226.53,1044.75,1366.58
"misantrópico imperscrutable","Chorrillos",9,123,3342.58,3279.41,3967.27,3758.76
"chistulari enhacendado","San Martin de Porres",12,186,4766.86,4401.97,4903.68,5072.76
"verdulero acusación","San Martin de Porres",2,32,5284.98,4764.26,5605.76,5260.24
"infantado desconchar","San Juan de Lurigancho",9,111,1918.9,2249.18,2447.65,2052.52
"alveario bizbirindo","San Martin de Porres",2,30,3911.61,4862.63,4491.46,5129.55
"acromegalia disfasia","Santa Anita",2,25,2390.79,3107.92,2467.97,2621.28
"reconversión acercador","Puente Piedra",13,190,2142.15,2357.29,2057.13,1929.94
"culantro bruzador","San Juan de Lurigancho",2,31,2229.63,1969.49,1957.58,1856.49
"costumbrismo espinosista","Independencia",2,29,5239.74,4814,4457.27,5102.89
"alicaído sacamuertos","La Victoria",2,39,4049.1,3350.3,3852.98,3145.81
"sangacho trompillar","Rimac",3,53,3730.41,4880.65,4288.62,4311.45
"hemolisis agrícola","Santa Anita",9,135,3323.52,3656.54,4254.72,3390.64
"chulillo necropsia","Independencia",3,34,1377.62,1189.29,1242.02,1402.59
"paletilla entrelazar","San Juan de Lurigancho",4,61,2374.2,1957.79,2208.22,2307.2
"jansenista rompecorazones","San Martin de Porres",6,92,2264.41,2257.78,NA,2974.96
"forcejudo toquería","San Juan de Lurigancho",13,192,4601.16,5261.3,6123.92,5554.29
"victimización carneruno","Santa Anita",13,195,963.09,1143.59,1142.84,1114.42
"destrozar desjarretadera","San Juan de Lurigancho",9,147,1784.99,1829.06,2193.67,2047.17
"cairelar descaudilladamente","Villa María del Triunfo",13,169,3242.78,3542.86,2433.48,2473.94
"prerrafaelista abductor","Puente Piedra",7,120,3018.58,3374.05,2861.99,3426.37
"atravesía resultón","San Juan de Lurigancho",2,27,1760.36,2154.94,1821.53,1902.89
"salteador incompuesto","Breña",3,49,2094.27,2252.17,1617.96,2125.31
"creativo barcinar","Comas",2,34,2891.44,3393.07,3168.39,3069.4
"mesonero extradición","Comas",3,53,1360.21,1441.43,2023.38,2252.87
"enumerativo membresía","San Juan de Miraflores",13,202,4084.78,4404.54,3882.8,3722.82
"perdicera rencoroso","Santiago de Surco",13,193,2305.87,2364.58,2146.26,2647.34
"superiora llantina","San Martin de Porres",2,25,4540.09,4825.42,4967.87,5786.3
"anatomista enroscadamente","Santa Anita",4,44,4389.68,4074.22,3902.54,4945.13
"microelectrónica enmendación","Ate",6,82,930.48,995.24,1321.14,1243.95
"zunzapote preternatural","San Martin de Porres",13,184,2014.1,1746.25,1548.73,2005.07
"caleidoscópico monicaco","San Martin de Porres",4,53,3389.96,3442.86,3733.2,3805.56
"fortunoso anfineuro","San Martin de Porres",13,180,2049.84,2251.68,2365.77,2539.86
"resfriante enmaderado","San Juan de Miraflores",5,71,1440.74,1074.77,1873.14,1448.52
"enlardar sobermejo","Santiago de Surco",7,104,1656.11,1586.19,1868.37,2002.96
"apoderar incertidumbre","Ate",8,121,3313.01,3541.31,3507.87,3688.89
"paralasis apapachar","Rimac",3,36,2356.67,1910.45,2259.95,1764.67
"ostensión traumatológico","San Juan de Lurigancho",11,163,1332.14,1547.25,1400.44,1078
"energético coartado","Villa María del Triunfo",5,68,3551.91,2568.51,3447.87,2930.81
"discontinuación cagadero","San Martin de Porres",9,135,1984.24,1813.1,2040.48,1641.51
"juramentar tiranicida","Rimac",10,147,3593.72,4550.65,3490.53,3896.62
"carrindanga zorzaleño","Ate",7,98,4655.64,4819.53,5623.23,5490.61
"cintería inconcusamente","San Juan de Lurigancho",3,46,1097.66,896.29,909.86,1211.22
"veinticuatría transculturación","Ate",5,94,2335.28,2531.45,2431.05,2593.59
"fritandera bibliobús","Villa María del Triunfo",2,33,1583.64,1793.05,1941.63,1738.34
"totalitario concubina","Breña",3,53,1008.96,1163.36,1042.76,854.32
"hermosura nublazón","San Juan de Lurigancho",2,21,1487.05,1271.1,1759.5,1399.73
"enruinecer ad líbitum","San Luis",8,115,874.96,787.28,1041.37,1065.22
"esquiciar superintendente","Santiago de Surco",13,198,2796.1,3085.67,2802.35,2901.51
"hernioso hibernés","Ate",2,30,3274.76,3532.86,2606.64,2882.36
"sobaquina cuarteamiento","Puente Piedra",5,65,1937.44,1621.13,1631.76,1691.35
"lambetada inmunoterapia","San Juan de Lurigancho",13,171,2799.31,2753.36,3175.73,2977.71
"retransmitir pastraña","San Juan de Lurigancho",5,75,1924.22,2551.56,1903.37,2165.59
"cilindrado blanqueamiento","San Martin de Porres",5,73,4562.15,5015.2,4431.1,4128.03
"trasquilimocho ineducación","San Juan de Miraflores",13,188,1734.64,1943.52,1616.82,1355.87
"aguacate adestramiento","Comas",5,66,3070.81,2875.65,2965.62,3210.28
"trilítero aparvador","Ate",2,41,1407.96,930.42,810.83,988.95
"gramatiquería cerrillo","San Martin de Porres",6,71,1812,1898.11,1591.7,1921.76
"cacarear calderetero","Los Olivos",4,69,3278.86,2323.93,2592.81,2811.66
"psicrómetro luxemburgués","Independencia",4,54,1188.48,1145.85,1198.03,1425.47
"marizarse murciano","La Molina",5,71,3089.01,3883.01,4405.38,3300.47
"captatorio presepio","Santiago de Surco",2,28,2246.68,2321.5,2332.42,1796.3
"ensillado irrealidad","Comas",10,183,1785.55,2304.21,2335.82,2133.61
"ineluctable electronegativo","San Martin de Porres",3,36,1108.97,1587.19,904.39,1177.53
"inspiratorio disgregativo","Ate",7,88,4749.25,5058.5,3917.07,3906.38
"mitotero inaguantable","Puente Piedra",2,26,3469.95,2952.75,3324.53,2720.67
"acechamiento descaecimiento","San Martin de Porres",3,49,2796.97,2535.34,3356.77,2805.26
"activista extractor","Comas",6,105,1527.07,1974.3,2148.09,2229.39
"progenitura gargarizar","Villa María del Triunfo",9,119,5034.59,4743.77,5844.18,5141.38
"mea culpa justiciazgo","Chorrillos",5,68,3051.23,3700.81,3224.33,3960.67
"degenerante desperteza","San Martin de Porres",5,83,2136.66,2104.86,2216.69,2451.91
"troquilo membrado","Miraflores",10,146,2777.46,3343.16,2838.55,3204.06
"empigüelar marcionista","La Molina",6,87,3457.95,3924.89,4120.53,3729.73
"glagolítico aspearse","San Martin de Porres",5,82,918.62,974.8,1061.93,871.13
"desahogadamente traspatio","San Juan de Lurigancho",4,41,2005.38,1939.84,1570.71,1625.85
"desmejorar pugilista","San Martin de Porres",7,103,1004.94,1167.4,759.98,1048.27
"malevolente hinchada","San Juan de Lurigancho",10,159,1792.15,2454.62,2305.77,2055.21
"substitutivo estopada","San Martin de Porres",2,33,1304.92,1123.24,1501.43,1374.17
"tembletear teomanía","Ate",4,50,5342.71,5939.86,4457.68,4835.72
"antecristo desentono","Breña",5,83,1228.62,994.36,1176.75,1064.45
"demeritar desquijaramiento","La Molina",3,54,4822.06,4118.91,4255.96,4462.95
"renunciante interprovincial","Santa Anita",5,70,1479.74,1045.6,1187.78,1486.86
"cenizoso bravamente","Surquillo",7,106,3899.34,3780.53,4685.35,5101.51
"destirpar enjaretado","Santa Anita",2,23,2405.23,2479.18,3018.38,2394.23
"arándano indisciplinado","Surquillo",13,218,1368.5,1661.66,1919.07,1642.83
"ligamiento clemencia","Villa María del Triunfo",5,62,2961.63,2488.72,2617.88,2705.11
"carapulca calípico","Ate",2,29,4569.85,4639.01,4475.83,3729.06
"endorreico azanahoriate","Ate",5,85,2281.94,1941.82,1849.82,1726.34
"estilista polvazal","Puente Piedra",8,112,1423.12,1666.85,1457.46,1754.1
"codicología tornagallos","Independencia",5,74,2231.62,2215.9,2380.92,2571.88
"encrespadura enciclopédico","San Borja",2,27,4466.57,4124,3611.46,3810.23
"confusionista reporteril","Independencia",4,58,1247.91,1353.75,1216.11,965.52
"carnalidad deficitario","Comas",7,113,2056.55,1441.36,1705.81,1645.55
"apartotel alcabota","San Martin de Porres",10,149,3090.87,2484.13,3144.26,2567.72
"tapetado vendetta","San Juan de Miraflores",10,151,1689.72,1786.78,2097.8,1578.95
"negligentemente periostitis","San Martin de Porres",4,61,2532.5,2596.86,3534.16,3096.01
"acomodadizo partitura","Independencia",13,195,4272.12,3911.79,3755.69,4261.98
"dudosamente intransmutable","Los Olivos",9,142,1619.96,1972.03,2008.7,2025.59
"tardíamente conminación","Breña",2,28,1789.81,1594.52,1409.58,1148.01
"germinador titeretada","Villa María del Triunfo",4,40,2552.96,2540.38,3210.15,2551.71
"totanero bambochada","San Martin de Porres",9,134,2913.29,2664.74,3201.77,3690.08
"refractario escolaridad","San Juan de Lurigancho",5,77,3841.17,4486.44,4622.78,3818.95
"zaparrastrar dilusivo","San Juan de Miraflores",13,191,3191.69,2537.49,3247.08,3117.67
"suversión obsequiosamente","Chorrillos",8,135,2745.55,2020,2766.31,2299.54
"hornería seresere","San Juan de Lurigancho",13,181,1412.25,1527.29,1445.52,1408.39
"realegrarse albugíneo","Los Olivos",10,160,2300.37,2859.22,2739.16,3145.75
"querella zigzaguear","San Juan de Lurigancho",13,187,2021.57,1996.9,2314.48,1906.83
"visitante foralmente","Santiago de Surco",2,28,2436.15,2830.85,2229.22,2916.48
"tilintear jamaquión","Santa Rosa",3,56,1940.64,1427.3,1546.2,1752.73
"enternecimiento variación","San Juan de Lurigancho",13,187,900.03,1076.33,931.11,1303.39
"abetunar exaudible","San Miguel",12,165,2842.17,3379.3,3262.02,3545.3
"semitono coreógrafo","San Martin de Porres",6,95,2971.67,3318.52,3369.07,3477.53
"susurración carcamán","San Luis",13,202,1431.39,1524.52,1344.64,1539.37
"remendón itericia","Breña",3,41,1140.02,1090.14,1238.9,993.81
"digladiar neurociencia","Ate",5,71,2476.04,2209.15,2550.7,1941.2
"intelectualizar desblanquecido","Villa María del Triunfo",5,79,4625.93,4465.69,4718.64,4980.82
"huestear vizcainada","San Martin de Porres",3,47,1220.19,1376.67,1593.57,1243.26
"repatriación simbionte","Comas",12,178,4427.17,4161.87,3347.36,4393.24
"amarguillo hidrometría","San Miguel",10,148,1929.19,1682.87,1519.95,1652.23
"hispalense especulador","Los Olivos",13,187,2394.95,2257.14,2126.39,1910.48
"chufletero interdicción","Los Olivos",6,104,3337.58,3301.27,3827.68,3901.85
"fotobiología butifarra","San Juan de Miraflores",3,52,4100.65,3766.32,4258.39,3403.19
"jefatura fanguero","Comas",2,28,1142.59,1264,990.8,1265.55
"espontón experimentador","Chorrillos",6,87,1301.71,1407.55,1482.94,1633.06
"radioterapia entreplanta","San Martin de Porres",13,174,1006.17,1180.98,1249.07,1154.7
"barrabasada profetismo","Villa María del Triunfo",2,35,1260.64,1136.48,1310.31,1443.69
"empentar supuratorio","Chorrillos",2,29,2625.13,2921.57,3299.2,2870.16
"disimulador fusilería","Los Olivos",3,51,5762.68,5311.29,5002.6,4872.7
"entender maleabilidad","Santiago de Surco",7,115,1548.8,1436.71,1310.9,2005.85
"fonemático barcinar","Puente Piedra",5,75,1598.22,1847.46,1686.67,2103.62
"sifilítico resquemazón","San Martin de Porres",12,160,3453.26,3492.62,4459.33,3811.65
"inoculación sonsacamiento","Breña",2,28,4199.14,3597.39,4069.19,3982.4
"caroñoso isótropo","San Martin de Porres",13,201,2615.34,2206.08,2400.42,2141.34
"quebrantaolas dialogal","Comas",3,49,3336.19,2632.56,3755.73,2957
"cuchicheo creativo","La Molina",2,31,1821.89,2288.93,2178.37,2080.84
"garapito enclavado","Rimac",3,53,3619.73,3646.89,3310.81,4316.97
"abriboca maderación","Puente Piedra",6,109,1815.16,1852.13,1779.56,1530.79
"escrutiñador laminador","Santiago de Surco",9,137,2857.85,2332.26,2573.67,2462.07
"holgueta bienhadado","La Molina",6,104,3789.35,4512.71,4263.5,4941.91
"teologal perestroika","San Juan de Lurigancho",3,49,3242.68,2504.01,2815.47,3613.71
"monofilo acongojadamente","Breña",5,86,2371.58,3297.86,3197.66,3120.09
"apelativo agrillarse","Ate",3,48,2172.38,1915.83,2324.39,1918.13
"floreciente encorujarse","Surquillo",9,151,3110.35,2450.13,1724,2165.59
"epistolio mesnadería","Villa María del Triunfo",7,103,3250.65,3527.58,2549.24,3292.02
"reportista descimbramiento","Comas",11,169,3208.23,2918.97,2914.76,3076.69
"focalización almarada","Comas",13,176,3569.28,4239.89,3364.72,3304.28
"hispanofobia paradocente","San Martin de Porres",3,47,3832.01,3572.59,3699.58,4037.82
"manzanar cibdadano","Villa María del Triunfo",2,26,2056.83,2303.5,2397.97,1915.56
"paraguay conmutable","Villa María del Triunfo",8,121,1508.82,1743.32,1631.02,1632.62
"suavizador cantonado","Independencia",3,40,2382.63,1966.1,1620.67,2499.72
"tectiteca papeletizar","Villa María del Triunfo",2,22,4134.12,4581.77,4781.29,4447.98
"emperchar nahuatlismo","Puente Piedra",3,45,2052.2,2384.83,2026.07,2602.78
"canaballa espinochar","Comas",13,201,3078.62,2742.48,2737.8,2953.19
"monótono proliferar","Independencia",13,204,1404.28,1534.1,1522.45,1334.08
"cabañense pucallpino","El Agustino",10,154,1619.5,1517.77,2156.33,2060.59
"estragadamente incorregibilidad","Ate",4,73,1194.46,1290.69,884.01,1161.48
"apoptosis solferino","San Martin de Porres",3,35,1021.93,1088.1,944.22,995.12
"bozalillo resignatario","San Juan de Miraflores",4,45,4902.62,4365.84,4739.92,4128.9
"disceptación batidera","Ate",4,52,2355.38,1369.17,2003.09,2183.82
"morcuero perengano","Chorrillos",9,135,3128.39,2703.35,2802,2908.92
"anacahuita listonar","La Victoria",3,39,879.68,910.88,889.19,746.13
"garabatero acetileno","San Juan de Lurigancho",3,51,1026.77,1210.75,1053.45,1051.52
"dinastía penadamente","San Miguel",2,30,3989.79,3990.53,4524.02,4496.2
"dinamometría pobremente","Los Olivos",5,68,2923.25,2769.2,3310.09,2936.76
"afilosofado proyectura","San Juan de Lurigancho",4,60,2178.98,1787.63,1694.34,1777.88
"ciquitraque emparrar","San Luis",13,185,1502.12,1839.15,1377.02,1420.28
"saxífraga azafranal","Los Olivos",2,30,2639.99,2234.15,2633.3,2253.78
"toxígeno diferentemente","Barranco",4,60,5309.77,4464.93,4566.67,4301.57
"consistorial palabrita","El Agustino",5,74,2775.22,2959.39,1837.95,2664.06
"estraperlo deshornar","Santiago de Surco",11,180,2540.09,2341.83,1786.55,1768.67
"pluriempleado timbrador","Los Olivos",5,60,1693.69,2168.9,2077.85,2227.16
"huitlacoche luchadero","San Juan de Lurigancho",12,177,1496.19,1468.97,1396.58,1491.47
"fenológico calmatol","Magdalena del Mar",6,93,4075.67,3388.28,3548.84,3908.88
"abstencionismo atalantar","Villa María del Triunfo",13,205,1478.73,1535.19,1461.15,1050.97
"cuscurro colegialidad","San Luis",9,137,1611.31,1470.18,1386.78,1666.91
"tocomate tranviero","San Juan de Lurigancho",2,27,4060.11,3743.92,3352.04,3397.21
"pomológico penibético","Los Olivos",13,200,3299.79,3247.88,2512.86,2405.25
"bucólica coránico","San Juan de Lurigancho",3,35,1885.76,2126.62,1747.54,1739.63
"vocabulista protónico","El Agustino",10,163,4252.58,2877.82,4147.7,3729.12
"sobrepaga octacordio","Puente Piedra",11,145,1086.31,1187.84,1541.98,1118.98
"cientificidad influencia","San Miguel",2,31,2548.94,2328.18,2402.02,2955.14
"abatimiento paralipsis","Puente Piedra",5,76,2155.64,1938.36,1835.94,1839.19
"rastreador gravídico","Los Olivos",3,38,3603.8,3811.36,3678.93,3242.22
"repropiarse solicitud","San Martin de Porres",13,189,2932.86,3013.98,3080.22,3386.77
"alcaecería ergonomía","Puente Piedra",9,141,1609.44,1229.25,1326.89,1244.84
"biodiversidad pichella","San Martin de Porres",8,130,1040.05,1275.67,1182.62,1239.03
"atesorar epizoótico","Ate",5,76,2518.73,2714.26,3559.87,3246.75
"revulsivo estratosfera","San Miguel",2,35,2772.5,2749.56,2482.29,2362.51
"malintencionado fenilalanina","Puente Piedra",13,194,4417.61,4473.04,4053.62,5178.17
"pignoración dendroide","La Victoria",2,25,1019.12,1028.12,1034.11,977.48
"insólito presuntuoso","San Juan de Miraflores",3,45,1231.29,740.54,987.74,1302.02
"carcajear indistinción","San Martin de Porres",2,23,1361.27,1475.64,1247.6,1577.99
"acetificar largaria","Ate",7,111,1861.43,2223.91,2387.75,2606.07
"encontrado almendrar","San Juan de Miraflores",4,58,1038.44,853.47,1034.09,1114.71
"despechar tablestaca","Lince",12,149,1625.07,1465.95,1034.45,1332.13
"privatista elefantino","San Martin de Porres",4,54,2369.68,1755.16,2198.98,2209.04
"rodadizo colitigante","La Victoria",3,44,1966.21,2046,1844.46,2092.8
"requetebién lactescente","San Isidro",3,44,2322.1,2635.31,2103.39,2123.3
"diaforético pasicorto","Santa Anita",5,75,4247.34,4767.93,5965.98,4947.11
"sentencia aguafuertista","Surquillo",5,71,4226.34,4356.2,3894.46,4101.53
"guitarra charcutería","La Molina",13,202,2640.6,2970.8,3358.45,2759.78
"hitación limoncito","Ate",5,83,1568.58,2022.24,1826.02,1811.53
"trasfuego inconcuso","San Luis",2,25,2548.22,2717.85,2583.95,2427.42
"fragmento termoelectricidad","Chorrillos",2,25,2610.38,2423.05,2761.5,NA
"acanelonar insidiar","Ate",2,32,3623.86,3343.4,3450.35,2900.23
"radiestesista rectoscopio","Comas",13,190,1550.73,2028.72,1764.71,1566.17
"depredador termorregulación","San Martin de Porres",5,74,4006.81,4382.86,4189.71,4049.62
"protruir fustumbre","Breña",3,56,1646.65,1599.4,1569.05,2005.63
"caribeño podredumbre","El Agustino",2,28,1052.66,1354.01,1556.29,1580.12
"abellacar lactómetro","Comas",3,41,1729.93,1934.14,1678.95,1670.71
"antimonio navícula","Santa Anita",4,56,2381.1,1891.37,1962.66,1921.1
"trasfigurar malfechor","San Juan de Miraflores",11,157,3142.59,4264.58,3768.98,3749.3
"descoser comodidad","Villa María del Triunfo",4,58,3464.76,3355.32,3470.48,2733.68
"descojone matrimonio","Comas",3,50,1743.62,1807.74,1892.07,1612.51
"garrafal estribera","San Juan de Lurigancho",3,45,3425.09,3652.82,2979.32,3248.33
"testarudez rifadura","Magdalena del Mar",13,206,2053.18,2023.37,1750.71,1781.47
"refaccionario figurado","Chorrillos",4,54,1877.72,1396.75,1940.27,1859.01
"desmocadero desprender","Villa María del Triunfo",8,122,2956.65,2387.44,1872.07,2233.21
"contestador echadero","Santiago de Surco",4,53,2524.75,1912.78,1742.5,1977.85
"vicegerencia engestado","San Juan de Lurigancho",2,33,3353.03,3502.91,3937.14,3212.11
"coceadura excedencia","El Agustino",8,101,3794.05,4353.05,3126.81,3412.23
"socotroco vendimiario","San Martin de Porres",6,96,1418.87,1678.95,1796.18,1655.73
"avocación pedicular","San Martin de Porres",3,47,2108.47,1597.19,1686.57,1431.36
"polidipsia calcinable","Los Olivos",5,77,4302.37,5364.65,4798.66,5099.47
"tembladal plántula","San Juan de Lurigancho",4,52,1003.06,1063.1,1140.09,1227.7
"injertera carbunclo","Los Olivos",2,25,2744.29,2721.8,2957.11,2699.5
"dacriocistitis toxiinfección","Lince",6,94,2785.67,2158.62,3110.07,2174.21
"panfilismo geología","Comas",8,117,1303.5,1561.64,1359.19,1548.42
"irreglamentable amodorrado","Puente Piedra",2,29,2627.29,1566.48,1822.34,2042.79
"enfiteutecario descaminadamente","San Juan de Lurigancho",11,182,4092.08,3626.31,3657.62,3697.15
"cuantiar encasillado","San Martin de Porres",7,105,2461.98,2772.64,2146.22,2412.7
"maiceado incrustar","Chorrillos",5,69,4298.04,4682.41,4868.6,4377.47
"chorlito desmedidamente","Rimac",13,212,2926.85,3520.05,2954.35,4628.56
"amesnador castalio","Chorrillos",5,85,1870.47,1998.33,1444.22,2177.34
"reeducar apellidero","San Juan de Lurigancho",2,26,855.95,636.87,984.66,943.77
"vialidad concreción","Miraflores",11,157,4193.43,4653.02,5432.41,4289.3
"geomagnetismo pluralista","San Juan de Lurigancho",10,153,3585.44,4098.69,4550.04,3996.5
"extirpable tenebrosamente","Comas",6,97,1526.53,1510.82,1428.34,1314.87
"gomaespuma coladizo","San Juan de Lurigancho",12,191,3159.33,2528.87,2093.76,2675.34
"confinamiento cultipicaño","Villa María del Triunfo",4,59,2687.07,2423.12,3325.54,2865.24
"tarifación marroquinero","San Borja",5,94,3448.63,3577.08,3666.79,3348.07
"dilatador cientifismo","San Juan de Miraflores",9,144,1132.52,1109.4,1255.08,1052.19
"juanilama irregularidad","Villa María del Triunfo",3,39,3606.04,3719.13,4233.83,3190.83
"solsticio herronada","San Juan de Lurigancho",5,77,1420.47,1845.38,1570.55,2116.51
"querosene molliznar","Chorrillos",8,132,2112.37,2064.82,1727.36,2287.36
"trapería presbiterato","Chorrillos",5,92,1398.47,1514.64,1997.48,1275.32
"malladar expiativo","El Agustino",6,94,2063.68,2155.22,2295.83,2153.64
"seruendo deslegitimar","Ate",13,198,1402.8,1399.44,1084.28,1437.91
"futurología redistribuir","San Miguel",3,41,1965.45,1981.12,2276.61,1731.9
"velarizar trancazo","San Borja",4,58,5091.8,5520.52,5154.9,5093.64
"titiritear existencia","Comas",8,132,1325.98,862.1,1307.82,1392.66
"carantamaula desrelingar","San Borja",7,100,3021.33,2376.11,2830.57,2955.33
"pleonástico intricadamente","Villa María del Triunfo",2,37,2396.73,3132.46,2998.09,2644.09
"contraenvite encajadas","Los Olivos",4,63,1977.03,2031.92,1837.33,2519.58
"confesado plenilunio","Puente Piedra",5,55,2466.43,3021.52,3334.83,2663.86
"placentino agricultura","Comas",2,19,2073.54,2063.23,2811.03,2592.02
"excedentario desenroscar","Independencia",2,24,1001.39,802.83,638.87,791.57
"genitivo sociabilidad","San Martin de Porres",4,54,3484.2,3805.96,4099.78,3914.47
"concertista alhóndiga","San Martin de Porres",8,113,3415.7,3569.5,3408.04,3136.28
"regidoría macroeconómico","Villa María del Triunfo",11,181,1293.07,1386.83,1163.93,1216.74
"bucolismo ganguear","San Borja",3,45,4434.98,4331.14,4896.76,5543.35
"alcaidesa constringir","Breña",3,48,2164.97,2010.24,1740.55,1471.55
"atlantista titularización","Comas",3,48,1739.78,2246.25,2050.6,1915.57
"transpositivo atercianado","San Juan de Lurigancho",3,35,1337.25,1321.64,1271.72,1149.92
"cauriense acomodadizo","Ate",2,37,1641.77,1727.94,1574.08,1379.4
"trasmitir pringapié","Chorrillos",3,46,2573.06,2541.74,2446.05,1855.42
"obsequiosidad mozallón","Rimac",13,199,970.17,1247.99,1267.51,1174.95
"beatería paloapique","Comas",9,132,2852.48,2717.15,2747.14,2981.41
"deshonrador desigualar","Villa María del Triunfo",6,109,733.78,1127.74,1008.22,918.78
"despelucar colorete","Comas",5,75,3079.54,3648.1,2849.09,3100.96
"semillar espinaca","San Juan de Miraflores",3,51,1046.6,1197,1442.25,1632.95
"cornisón insinceridad","San Miguel",10,148,2280.43,1976.78,1985.6,2138.67
"oscilador reverendas","San Juan de Lurigancho",12,165,4543.55,4448.76,4296.02,4639.76
"caliciflora atenuación","El Agustino",10,139,1207.14,1314.97,886.7,849.07
"avivadamente mollejón","Puente Piedra",2,34,2413.27,1444.48,1716.31,1621.69
"retaliativo convencer","San Juan de Lurigancho",9,123,1626.01,1588.07,1664.9,1757.91
"teresiano desambientado","La Molina",13,202,3958.59,4011.96,3700.32,3450.06
"coaligarse balsamerita","San Juan de Lurigancho",3,34,1302.23,1423.28,1572.55,1668.6
"iracundo desaprovechado","San Juan de Lurigancho",6,83,1812.47,1401.87,1751.03,1240.47
"concepcionista ablandahígos","Chorrillos",8,110,2340.5,2616.75,2516.61,2613.26
"encabrahigar obsesionar","San Juan de Lurigancho",4,52,1370.19,1506.29,1159.41,1307.74
"dignificante desescombrar","Los Olivos",3,45,4355.59,5751.85,4751.81,4834.41
"desabrigar pachiche","Miraflores",3,48,3597.95,3250.77,3616.4,3506.37
"pretemporada propincuidad","Santiago de Surco",5,79,2610.75,2776.5,2506.01,2397.36
"indignidad aberración","Villa María del Triunfo",5,81,1609.97,2216.76,2119.27,1677.86
"mandadero fotonovela","Chorrillos",6,92,3971.24,3247.56,3609.19,3830.48
"aventura azacanarse","San Martin de Porres",6,101,2786.89,2635.44,2678.92,2883.33
"busquilla conopial","San Luis",10,163,1148.04,1075.81,1395.79,1295.01
"malcriar desaprisionar","San Juan de Lurigancho",4,62,2196.54,2941.02,2497.57,3104.97
"pipiolera trotskismo","Santiago de Surco",2,27,1330.78,1383.83,2011.88,1578.78
"leporino fiscalización","Chorrillos",8,118,2622.06,2284.31,2230.77,2486.87
"espectrómetro subidamente","Villa María del Triunfo",5,86,1428.44,1263.48,1656.48,1544.86
"gloria Patri santalucía","San Juan de Lurigancho",2,30,844.23,692.8,1063.61,984.32
"descuajeringado palanciano","San Juan de Lurigancho",2,38,1467.89,1325.72,1398.51,1081.36
"quilatar pelucona","San Juan de Lurigancho",11,153,2493.95,2542.15,3209.3,2952.48
"daltonismo compostura","San Juan de Lurigancho",2,32,1669.04,2024.95,1885.49,1659.07
"aflorado sanjuanino","Los Olivos",10,144,4735.02,4054.95,4131.21,4335.16
